user_id,last_10_interactions
60,37 3011 69 674 3465 3640 2006 2067 12 772
61,1491 2485 1018 906 3408 1921 3234 911 737 3578
62,1190 1831 2067 3313 3220 2681 3435 2705 79 1511
63,1423 96 1773 331 3435 570 1328 1510 3238 2980
64,232 350 3625 1055 2124 1234 3012 403 2891 2668
65,700 3182 1188 1212 697 17 2125 2993 128 806
66,304 1323 818 1287 672 3597 2159 2271 1703 780
67,2895 184 1186 573 2709 1279 796 1481 2581 399
68,352 3656 1638 2597 1111 1107 239 1446 400 24
69,3514 428 740 2606 1868 1264 1623 2152 445 980
70,121 1443 342 3582 845 1587 717 1454 1715 165
71,3164 529 2236 901 333 2387 2086 2107 2769 3247
72,584 2314 113 2630 2210 2732 2603 3473 3022 169
73,1322 1957 3588 2943 3220 3323 52 3325 3202 2221
74,2382 2005 2068 2682 1889 2236 1524 1811 3583 1927
75,382 106 3465 1828 3409 212 16 615 1160 621
76,3350 1916 3529 1560 3272 1811 1315 2224 1137 160
77,1002 2528 1811 561 1889 809 152 2365 2402 605
78,120 1386 3173 3334 3537 2236 2862 2937 2265 652
79,2222 2158 663 1617 1427 1246 362 534 1757 881
80,2023 3656 3406 232 3276 3353 2067 2327 3677 760
81,21 2146 3667 315 3569 457 881 2339 1250 3339
82,3035 802 1337 702 1086 512 1560 2774 1371 1315
83,1637 169 2210 2502 971 2534 3646 2327 1968 1039
84,2780 397 3002 2350 2645 830 2485 2397 1525 3534
85,3059 1140 922 1039 88 2076 872 1096 880 1858
86,1073 1240 1040 3215 220 1690 1328 1428 309 931
87,2483 966 867 947 166 677 367 3350 1240 2165
88,677 236 3116 1001 2800 2290 3131 2840 2745 1057
89,1788 2564 804 1526 783 931 2278 1432 987 188
90,2428 2774 1827 382 778 234 2916 1801 1315 1560
91,1736 3338 2947 1337 208 1376 2154 3264 1788 3663
92,2606 214 2128 2862 3694 2210 2630 3151 1615 569
93,525 79 2602 169 3074 598 3053 2626 3553 2342
94,2308 1746 3350 2122 3535 3608 3036 2457 1788 652
95,1746 1546 2757 1850 3685 2980 3333 3528 944 543
96,1827 221 104 1278 3701 855 1680 1762 2639 3184
97,708 2702 2063 170 2653 1868 2732 508 3402 2652
98,232 3677 2370 2005 482 2068 120 2402 186 467
99,2692 220 3012 646 2319 1848 1775 3020 2968 3532
100,881 3684 1615 1678 3535 1850 69 2308 2088 2757
101,246 657 37 1149 1365 1124 984 677 3701 3172
102,708 854 2677 2432 1456 120 607 221 2371 2697
103,3511 2050 1252 292 1597 1498 3426 1795 3381 3294
104,2777 2784 2862 2382 3231 2370 3677 465 2068 3133
105,1754 2227 71 1980 257 1251 762 2865 2330 1721
106,802 2342 793 584 1800 2773 3367 1341 2774 1615
107,2273 37 2006 1223 1828 2474 1316 3608 3409 152
108,3465 654 2510 93 779 99 1127 2839 1814 512
109,1426 3485 396 978 3363 2338 3187 174 422 609
110,613 2410 2470 2953 741 3269 384 28 2664 3153
111,933 1227 2219 863 2828 2673 175 530 246 1615
112,232 605 1807 3022 2709 538 1429 94 611 2933
113,2564 1223 1279 741 3005 1018 1546 1753 2757 603
114,2822 2553 3457 1071 316 2608 3055 1893 1639 1116
115,520 3358 1508 2773 2108 1673 3661 1049 289 3255
116,1754 983 734 1377 331 394 304 2397 3051 1030
117,1030 944 467 246 1169 189 1052 2237 755 1726
118,2402 2998 2365 152 472 2561 1246 1348 3656 232
119,1066 3013 3269 1279 523 856 426 2700 3231 29
120,1807 1762 658 2354 2371 1977 110 3101 3113 2410
121,2140 1498 3335 2980 3000 3191 1078 640 2541 463
122,1142 3205 1609 2975 2778 3051 755 451 506 2387
123,3063 2332 3589 684 1446 838 239 1054 24 2666
124,1018 3306 331 16 3660 2480 872 3353 1617 3367
125,1686 584 2980 528 3656 1376 3086 2484 922 12
126,1191 793 984 1491 2271 186 176 3005 1124 605
127,2327 3382 971 3269 2616 1583 1657 1039 478 3589
128,1045 2534 1270 1656 633 2593 2836 1582 3293 525
129,1800 774 790 69 2076 2314 3023 6 305 2502
130,513 406 416 2991 2557 2570 796 1223 1279 472
131,264 2774 1560 1053 1475 2643 3701 2920 3205 2699
132,1504 3227 29 3338 2165 917 1437 1069 974 59
133,212 1007 1956 3602 2194 2050 2010 501 3660 2535
134,3116 2256 2236 1840 1134 20 2682 3475 2328 1083
135,1337 844 3157 2572 2465 175 3345 619 1071 182
136,2237 213 944 3002 863 2308 1033 3390 1811 2227
137,1386 36 472 2410 1382 2345 434 1813 3205 232
138,451 2309 2862 3023 2261 211 1181 957 2141 1150
139,2384 974 1645 253 2335 1707 3557 3659 421 2165
140,887 2424 1315 2902 728 2858 2256 1337 1422 2382
141,569 782 3371 1640 1671 1830 1848 1373 3262 1376
142,618 225 3529 2557 2931 523 2466 228 1505 3423
143,2914 1700 2574 739 2586 1337 2476 3600 1424 1630
144,2606 2119 253 3022 2069 1462 3344 671 626 2050
145,1795 1191 2050 904 292 1044 616 2618 1939 142
146,1377 1668 1160 2474 1443 1459 2828 2048 2354 221
147,1337 2779 1490 1652 1725 2006 2432 1807 1149 3496
148,1887 2470 3385 124 1859 232 1177 3274 3539 1450
149,1792 1587 1552 793 1300 1731 3016 383 2277 1293
150,509 2149 2335 952 1503 702 2814 2561 3035 1545
151,119 1030 535 2331 476 2501 1086 214 2210 1211
152,3514 1332 49 1383 1046 83 1519 2082 1574 3483
153,1057 2054 2389 2817 2688 984 106 190 3409 2510
154,160 202 451 2802 2401 2256 1186 463 476 2336
155,2338 138 2128 2924 124 1868 2256 401 1177 2956
156,254 2900 1295 2606 1912 1510 2295 1220 515 1124
157,406 3339 3529 801 3075 1177 1758 487 2460 1720
158,498 2606 1831 3692 3187 232 1246 1348 3600 1337
159,609 3253 666 453 3670 2769 783 1304 658 1077
160,3700 2063 760 3019 956 3016 494 153 2658 3573
161,601 346 2974 2745 237 1354 22 3443 3224 1811
162,209 2510 2830 1560 618 3072 3141 2609 1912 1615
163,3013 1316 1279 1491 398 2541 3172 1546 2980 2342
164,3565 3374 1912 768 2945 3401 2900 254 2136 475
165,1633 511 2933 3415 3231 2382 482 186 467 472
166,3409 1223 730 707 1711 318 121 2158 2250 3191
167,3051 1518 3608 2027 3372 3677 176 2140 165 1672
168,932 592 2801 301 382 2479 3431 1828 190 2384
169,322 2383 3474 2840 695 3441 1012 1731 1304 2873
170,1057 3059 2256 2606 3646 3272 2534 2210 1011 305
171,609 3063 133 1830 402 3670 584 1375 2519 1216
172,2399 2306 738 3402 202 2353 3276 986 529 2
173,3352 3690 2840 3269 2376 3660 1633 3602 382 2774
174,190 1893 724 2809 340 2174 3055 2584 2348 1501
175,1691 3125 2185 1686 2023 3395 1251 452 2470 626
176,1952 220 106 1321 790 1809 3569 278 3172 1592
177,2732 3668 1812 3382 2036 1057 2210 1403 1039 2688
178,1179 428 1932 249 233 3420 70 1776 1271 1943
179,523 498 3653 573 2230 620 2293 618 1413 2714
180,542 1058 1159 3469 1769 1130 511 1245 3271 2298
181,1560 779 188 707 3269 3382 1186 2488 1279 2688
182,407 93 523 3159 3151 1985 132 618 829 3423
183,1956 1809 2297 3053 793 3036 1287 3511 1490 3046
184,2063 784 3489 2763 2587 2636 2071 512 204 951
185,1337 560 2476 3600 391 1980 540 1459 3302 1544
186,1831 1324 523 2248 1354 3409 618 3528 1644 917
187,3537 3482 3317 1592 2820 989 1916 2813 3141 1950
188,1681 2900 2990 1168 553 1982 1177 1912 1392 3418
189,2900 2033 717 3066 578 1429 535 1699 1792 2141
190,1583 833 1070 966 3528 3000 1001 2839 3077 233
191,2862 1707 1859 3474 467 2086 2306 632 401 772
192,3234 1638 3423 1639 3220 983 3371 2465 817 797
193,512 1947 382 887 2916 1560 438 1278 1456 1422
194,1560 3551 1592 2128 1811 3151 1223 1543 121 2132
195,625 642 1510 2117 3437 131 872 2475 3438 1227
196,312 3276 487 1033 12 2606 2140 1012 2261 231
197,674 523 2277 1324 1706 2688 3424 2922 772 93
198,3511 2354 230 2836 1936 151 3064 2969 2112 3113
199,3274 232 2345 1864 1630 2084 758 1592 1587 2480
200,3325 2959 1045 1722 2768 3243 2430 1428 1398 2256
201,463 2688 1018 1861 1708 1356 3534 1741 376 3051
202,584 3377 3401 2297 463 1211 3694 476 732 2198
203,1538 1332 797 1052 382 3220 461 2261 989 1884
204,2697 1165 2677 7 1667 2371 857 1932 487 607
205,2564 2630 3409 2256 3110 3510 2745 3382 2603 1401
206,3435 331 1510 1617 2980 2757 183 2602 3238 640
207,1583 568 1615 2316 3482 463 2474 3529 2006 1905
208,601 1078 3581 1568 1808 136 3180 408 777 2389
209,2227 2338 2561 2335 452 569 3198 2336 813 79
210,1418 1686 2084 3101 2730 1700 1630 1822 2476 2345
211,1968 2800 3382 2210 3668 3694 2534 1011 12 2366
212,1887 1831 3238 2515 2185 472 2076 2256 2836 2402
213,2768 1868 293 944 2626 785 208 1172 1831 2210
214,625 2215 3220 3282 2261 2112 929 1773 2819 3300
215,3227 782 2016 2510 1593 3020 169 331 1471 2887
216,2389 3668 1376 2488 2282 1069 3557 1057 6 1746
217,2699 295 3331 172 1854 1959 583 1729 3532 2718
218,1245 75 1269 1092 1529 3185 1377 1527 1773 497
219,1337 389 3311 2009 2688 2477 3125 498 750 620
220,2874 1814 220 1956 646 2956 1001 59 2265 1316
221,1337 2136 583 872 3597 221 2438 3111 3437 482
222,515 1546 1685 3644 1197 3673 470 913 740 2932
223,2840 868 2908 1100 528 1543 1809 382 176 3286
224,3311 1868 2653 488 1233 966 1687 2354 1086 1947
225,1619 331 1501 2527 2500 2397 20 1808 2492 361
226,94 1993 2127 2328 1747 1871 2898 37 2621 1711
227,213 2082 2275 3658 3002 1171 142 397 563 501
228,247 2012 96 1617 501 879 3234 1210 1825 1956
229,1292 3665 3132 2600 1513 1943 3629 3551 3180 1970
230,3000 1808 2119 3557 1186 974 2564 707 1354 10
231,1930 3649 1928 1296 3151 771 44 2054 3668 2389
232,1638 3269 409 3013 1223 2862 1583 3225 3142 2224
233,2564 2466 2798 2510 93 1316 3653 523 236 1039
234,2421 1848 188 1386 309 2219 1227 2956 3402 1690
235,609 3335 1868 2541 3371 3187 584 3311 2980 3262
236,3186 1675 3353 733 1100 631 2382 2452 2258 3172
237,472 1406 2966 530 1793 2090 2493 311 2916 2275
238,1263 1859 1592 1560 3332 124 1316 320 2510 2688
239,3311 2980 640 1868 463 214 740 1168 3248 2128
240,138 124 2602 69 1807 406 22 2169 476 1453
241,335 341 465 2005 1699 1423 3110 2908 1216 3068
242,1507 3648 1512 782 966 3415 2541 3366 29 2961
243,1037 409 2265 1543 2862 1887 2054 863 1315 2528
244,1939 650 2159 2613 563 331 1621 1099 304 3598
245,1459 2054 1858 1421 120 1560 2370 1590 228 22
246,1670 3030 1868 802 1858 2501 1376 3694 863 3059
247,1526 1887 2528 472 2402 883 2509 3238 493 2980
248,1337 3441 1169 1030 2199 3031 1746 785 2757 81
249,2756 2892 91 3487 700 2231 2339 1032 485 833
250,2737 1610 2084 2914 3317 3338 915 3131 1177 3079
251,2493 2227 3035 762 2814 427 452 1868 1086 790
252,1831 3262 1172 1211 2646 109 82 2603 1548 237
253,3350 2282 69 138 1386 1800 2088 2265 3276 652
254,3050 2980 3311 2387 584 1858 472 463 3000 160
255,3000 3557 966 2502 1398 1645 365 3659 2961 2165
256,2774 2474 215 3475 1711 138 2382 1102 1110 1142
257,2751 2470 152 3583 833 622 1711 803 2630 2732
258,785 1887 1849 796 461 452 589 2732 2480 2447
259,1223 3374 1456 3528 3336 2224 2606 3272 707 1560
260,2290 872 2291 1996 1227 561 3402 37 883 1840
261,550 1218 3402 3147 3569 3636 1103 2353 2421 3168
262,1917 3352 639 1815 3171 278 1733 3545 1230 0
263,2646 291 1134 1690 2221 3282 309 1641 3113 1057
264,2690 337 1314 2701 131 182 2853 1032 3194 1430
265,2670 1884 3656 2345 2609 1511 401 3473 1219 1690
266,2205 2814 1545 2574 2185 3642 3600 3101 174 1517
267,1622 2412 2343 533 3196 1174 1957 121 2836 1322
268,1348 801 1337 3600 1603 2006 2379 2397 1655 1758
269,1439 2122 1057 1968 933 2056 291 2457 1859 2054
270,79 1822 232 1393 1424 3404 3030 762 3600 2255
271,1100 2218 283 830 1044 743 1127 3660 2920 2468
272,513 153 228 1172 2154 3646 3317 2389 2067 69
273,2314 1946 147 2646 320 1316 2054 3153 2410 2534
274,188 989 2817 2784 22 2688 1518 3209 313 3657
275,2478 1316 1315 2400 2847 2862 1686 2730 1223 2980
276,2835 3132 3692 2248 2384 136 3013 2862 618 3653
277,2980 3000 2664 1375 2519 584 640 1376 2763 160
278,1592 1403 2502 2874 1001 474 1690 464 3202 1057
279,1687 434 74 1375 2945 2999 3051 755 1038 2606
280,3238 3408 331 1248 3215 1617 2326 1328 3203 493
281,1573 1456 183 452 3628 2327 3119 2636 883 3405
282,3565 475 2136 35 1681 502 1168 768 3248 428
283,3215 1045 2272 1057 1376 1428 1040 790 1178 3646
284,312 971 3597 176 1633 1052 1939 569 2409 3234
285,605 3396 1928 487 2515 793 208 1871 2141 2617
286,2190 1816 1775 2308 947 3475 65 2636 2980 1439
287,3269 3423 1057 2370 397 1822 3534 1747 3019 2181
288,3318 321 1619 96 128 3027 2125 1984 142 304
289,1001 2917 1233 3298 2231 1662 2237 1252 1983 213
290,880 1949 2164 806 1885 324 583 67 1259 3463
291,3013 2509 124 3409 2862 1223 232 1315 2664 3473
292,1754 1549 1902 174 1060 2191 270 427 488 2172
293,1356 1800 1101 3600 220 94 2256 1920 487 2768
294,1269 1261 497 1035 418 2217 700 697 296 3169
295,3031 3082 2071 2119 3219 237 798 1186 3159 1070
296,1801 1754 762 1573 570 2872 702 1822 79 452
297,2234 247 2340 1427 2259 2245 616 2145 198 1139
298,2757 3597 1746 1792 2129 3066 2988 208 476 3694
299,204 2345 3493 663 2376 512 611 246 1630 584
300,232 3091 2063 2023 1822 1086 1545 1207 2304 2363
301,3344 3234 99 2956 1211 3534 1583 3022 3670 2397
302,402 1638 2557 1300 1762 2365 3692 225 3677 2709
303,887 650 2311 794 1371 438 2902 1278 728 1736
304,526 2253 1227 2926 3670 658 2851 1402 289 1218
305,1083 1341 1382 1227 1711 804 3038 2956 494 3562
306,2817 907 2121 1279 572 3048 3049 1375 543 2210
307,1630 2467 389 2345 1251 3642 3404 193 2614 3303
308,2389 1543 3418 109 82 1746 2603 1001 2956 2054
309,1508 2332 1446 2597 24 2666 525 1036 3670 631
310,1831 463 640 32 1811 3677 3331 3402 27 3350
311,2849 488 3669 1491 1086 2470 300 2140 2354 20
312,2169 2468 1546 1086 2342 2602 2297 2510 2603 3473
313,2340 2194 152 1753 646 36 1487 779 462 883
314,2237 475 830 2920 923 1827 1627 872 534 757
315,2538 1283 2237 726 3669 1193 754 3435 3437 211
316,1350 979 186 467 472 1782 1376 3095 1463 872
317,3341 2437 2117 1902 452 3023 3423 521 3438 3141
318,3000 772 1077 707 2512 1571 2067 513 1583 2664
319,398 1956 138 785 2273 1490 2980 2175 1831 1746
320,569 382 312 1868 79 621 1218 3350 406 2457
321,512 1592 451 1811 1362 966 1211 2534 513 1590
322,2342 1913 1615 2077 1617 2129 2716 3660 1770 1323
323,3653 1526 3271 2960 3125 609 1100 2963 2117 487
324,1746 3067 2515 1720 771 3677 2528 2281 524 1811
325,2483 2972 2054 1084 2800 2006 1069 1610 31 184
326,398 2602 1108 2541 3172 2980 3238 1736 774 1086
327,2828 3660 2655 2365 2067 3215 2801 3473 796 3276
328,2447 782 2153 1512 3340 3594 3609 1233 1504 1070
329,3562 1887 1811 2054 2281 2365 152 1568 966 3673
330,2705 853 2127 329 601 2097 2470 2256 2840 237
331,3194 2103 964 340 1032 2639 3055 1989 3371 438
332,964 2376 170 1220 295 3102 3565 3514 475 3384
333,2653 1337 79 1246 1393 3187 3406 3656 1691 2345
334,2397 2527 3231 3349 3253 2140 20 2960 361 3628
335,1193 212 3022 184 1057 169 204 166 1186 650
336,1223 553 70 3248 214 3693 1976 1912 1177 1982
337,1348 461 148 3381 3231 3166 2700 2397 2106 331
338,2653 1037 107 3656 1598 12 2646 2402 2502 2509
339,1997 124 2224 1011 416 2510 184 892 1403 3216
340,3318 2584 2613 2245 3408 1427 1374 1736 1423 1587
341,182 168 166 3335 1335 3306 1227 2215 3479 3579
342,169 2544 732 406 2353 2502 409 3132 2528 2067
343,2862 778 1884 3656 1868 2345 79 232 2664 1912
344,1800 1445 3238 2129 3553 280 293 1840 2484 1809
345,2331 1490 1030 3528 476 2857 2745 2210 208 1960
346,3311 2185 1086 2597 2956 3234 2857 1471 1001 339
347,1758 2215 3606 1328 1184 1033 3215 872 1193 166
348,2934 118 1839 1421 2768 3423 3615 3195 1977 3316
349,2023 2358 555 1096 2186 1809 94 1167 2524 1246
350,1939 1044 3660 394 457 2194 1621 1007 1984 2885
351,2069 2029 517 3532 3700 1289 3701 663 59 1070
352,3545 1109 675 2412 2946 3196 3588 3375 2350 2262
353,3111 2858 1669 1337 1633 1052 3415 1820 120 1947
354,1788 543 944 2273 165 7 3317 214 785 3248
355,1511 2387 482 601 2090 1303 2316 184 1916 2389
356,3472 3365 3562 3441 1960 3013 3409 2515 3153 2564
357,2326 1081 1921 1375 2485 890 182 1510 2340 1617
358,2427 1732 1164 772 989 494 2800 1186 3537 2534
359,386 476 3302 1340 2709 2067 607 2345 2290 2988
360,1037 3656 2363 1192 246 1426 2851 2076 1678 2373
361,1963 2956 1912 3528 3402 1001 3169 2054 2281 2256
362,1956 2175 138 3238 3327 2129 2757 785 1746 584
363,2850 206 154 929 1625 662 2033 1914 1735 708
364,2122 3247 1830 463 3350 1353 1132 120 1453 1590
365,1507 3029 2359 3256 2465 3390 2141 175 3105 3692
366,3013 2515 3153 2933 1057 922 3528 2732 12 3373
367,976 2688 178 2418 2890 2406 2925 464 571 3165
368,166 361 2410 1814 3059 1615 622 2768 37 1001
369,1839 178 1314 430 3492 1032 765 2231 2762 2379
370,2757 135 1403 2267 709 543 2173 2006 1551 3694
371,1403 3141 1011 2933 1657 3269 2036 2327 761 133
372,1901 2290 1439 1011 1134 492 3141 3125 1030 1178
373,2310 3017 1433 700 1212 185 206 3161 1327 2420
374,1678 2117 340 3352 2139 2345 452 672 615 331
375,2630 2771 2330 1342 609 792 528 2653 2613 1617
376,2210 2732 3705 1001 212 2956 81 1711 809 472
377,2835 333 1844 2327 2828 3692 3409 523 2314 640
378,2006 2917 3362 2800 2054 2646 1084 1386 3116 2370
379,2387 3528 1453 3610 810 382 3253 1348 487 1699
380,1471 3220 3671 119 915 1525 99 3215 220 1134
381,1287 2340 3657 2175 208 3286 1490 849 3016 3694
382,1627 475 3019 461 1586 2117 2480 295 3669 2465
383,1725 622 278 2119 1652 2592 784 3489 2335 59
384,3613 1525 611 260 2828 2384 3353 1217 1924 3116
385,3545 3032 2103 1514 2529 2454 343 3271 2209 3565
386,1667 382 487 3253 2697 120 183 1545 1403 164
387,1354 1223 174 2273 1738 331 3435 968 1916 568
388,3057 1110 3668 267 1993 674 1901 216 761 2512
389,1052 2908 3238 592 2589 650 1746 1850 793 1490
390,3203 3534 2812 2980 2328 2768 2676 1039 2664 3046
391,3238 2626 2331 3060 2342 1546 1375 1216 119 1374
392,1418 2518 579 400 3589 3363 2781 2332 1163 2666
393,1168 913 768 785 2458 3046 2600 3264 761 176
394,1516 2127 2256 1216 1300 1316 3409 2798 2721 1649
395,1250 1671 2800 3067 2048 1134 107 1084 2768 184
396,1001 3107 1341 132 1045 361 2833 3427 1134 3227
397,113 1078 2297 2603 3048 331 2326 2732 640 2210
398,1100 2812 1337 3238 398 1086 2630 1172 428 384
399,1223 618 3409 2688 2345 3406 1470 2370 2068 3256
400,2626 2492 304 1948 1013 2960 183 2928 1690 3277
401,824 3531 2101 2378 1534 224 2118 299 628 1626
402,3339 3380 1807 184 124 1045 3644 2002 899 2110
403,293 2757 584 3472 1746 476 640 1018 696 1861
404,3030 3418 1830 2128 2606 913 214 3294 3619 1443
405,2980 1848 2306 2910 2024 622 3474 211 3349 37
406,1092 1773 3658 1462 2275 2125 3194 96 1527 1067
407,1792 3316 3116 1341 3669 3677 1316 94 234 1247
408,1951 1052 1915 890 766 1959 1644 142 859 881
409,1263 39 3364 2974 2710 1609 421 2119 2951 3159
410,3348 391 989 1936 1376 581 401 2349 189 1670
411,573 2210 2493 237 42 2470 2067 1855 3364 1811
412,1670 3078 2162 810 1884 3600 452 232 3276 79
413,2599 3064 2252 3234 3203 1715 2881 260 3023 190
414,99 3262 3248 2469 82 476 3694 1211 214 109
415,1560 1811 2717 1263 2709 3151 3409 2844 1279 3365
416,136 2931 2664 577 2676 2645 3234 119 502 1546
417,2338 3339 3409 2218 1118 1840 457 2024 2397 947
418,863 3476 1808 3473 3692 1912 208 1211 944 2050
419,1678 246 472 1858 456 2363 1037 3600 312 1060
420,147 523 1406 2258 2983 3289 36 559 3082 2248
421,2275 1773 1191 3667 673 566 616 743 3411 1835
422,1014 3352 872 534 1738 3213 3086 677 1193 1658
423,3532 1711 2596 2063 784 663 1808 1692 1652 1240
424,1699 1065 3410 2127 1913 2256 3110 1300 2840 601
425,3097 2342 3065 1889 1946 1180 3332 543 183 799
426,2082 3090 916 708 3300 96 1377 2613 2952 1777
427,3652 1011 1403 1057 3269 2327 290 1039 429 2370
428,2596 543 1044 702 185 1014 94 304 1687 1271
429,1560 2148 3013 2528 707 2402 2058 1543 3441 2387
430,1099 2820 353 2012 1984 1825 1849 2326 1633 1048
431,1939 1443 1287 1703 845 849 2342 2129 176 187
432,2128 2224 1590 1791 3369 1465 1867 2722 124 1316
433,2709 2466 1593 3533 3456 1279 517 3648 1507 3700
434,2251 2108 3403 677 565 605 1470 3276 1124 3362
435,195 888 351 75 1836 2703 1867 2130 2275 2324
436,12 2054 2603 2265 3013 1583 3022 3269 472 1762
437,3602 1770 1491 2291 2908 2338 3465 1516 3476 1541
438,2625 650 2916 1781 1868 1460 1343 2110 3090 3365
439,120 1281 2712 530 2154 36 3656 1201 1691 476
440,563 3367 3529 1831 771 1956 3022 512 2354 1278
441,3665 538 1551 674 2006 1375 133 472 3424 2580
442,3690 2132 120 3133 1510 467 2849 1893 3253 382
443,2272 2858 423 1622 278 3059 2256 190 1211 1924
444,2928 1205 401 2424 2010 1795 2655 292 3191 3510
445,3240 3194 1092 680 353 96 2060 994 3602 1043
446,1884 3656 609 2885 3555 2757 1615 3110 2910 3473
447,1545 3124 2814 2185 2205 1754 3311 2321 1438 1868
448,534 2507 1964 942 430 3674 1275 1968 583 3235
449,3317 1511 829 36 1505 234 1827 2916 3157 1801
450,1211 873 1309 1073 1240 1044 3472 3358 1850 563
451,2639 1639 1201 534 1996 923 295 2637 2538 2044
452,314 3013 3628 3272 463 3153 124 1104 640 1077
453,1071 1740 430 1149 3669 2376 1958 3474 315 2480
454,702 2227 3404 762 1670 1545 2172 2756 2345 2145
455,1812 333 3205 79 2862 2488 1727 3087 3696 1754
456,809 1002 2148 3613 1316 318 2427 2086 2314 1315
457,3251 1315 2266 1669 1736 1456 573 1591 2639 3231
458,1315 1560 2643 527 1422 1633 3168 2370 1470 3133
459,2557 779 3131 2493 3245 2248 3423 93 2961 3476
460,279 2688 280 3423 1279 3212 2394 2357 160 1315
461,512 438 527 1668 429 2370 2376 3677 2068 482
462,2583 2674 909 3633 490 499 147 3245 870 937
463,2553 700 316 2946 2740 121 464 182 52 947
464,512 2281 2774 3111 3205 527 3365 2256 989 1052
465,1705 3598 293 2090 447 1560 382 2186 1171 2397
466,3450 528 2527 869 3334 1765 587 2054 472 2811
467,2256 2840 3382 2745 2603 3030 2653 2185 2205 802
468,3415 2622 1984 2382 2139 905 2132 3119 3677 1470
469,3687 650 512 2424 2311 2916 765 2774 3152 3701
470,657 3019 2181 1747 1633 1032 3602 2510 3562 3669
471,1503 762 2614 1686 1573 570 2653 3506 1868 1037
472,931 1045 2004 2112 309 2800 1030 1376 2256 3142
473,3642 1545 2173 3080 1086 1337 2670 1096 312 1801
474,2432 1052 3415 2132 2068 3256 467 3521 3247 1711
475,1686 1505 43 1464 2476 3101 1822 1562 3274 1616
476,142 1686 3187 2646 1454 3157 234 3431 2110 183
477,1831 3390 188 2370 1002 2528 1887 3684 3465 3476
